sar,type,mean,sigma
5.950704717558287,uniform,43,13
5.951430807378577,peripheral,21,19
5.952530647803416,bimodal,3,48
5.9528040502535156,uniform,4,47
5.953144755681245,uniform,24,2
5.953238482671491,peripheral,23,16
5.954123873270573,bimodal,8,26
5.9560268019093785,uniform,12,17
5.956882812660848,uniform,32,2
5.957842801338945,uniform,11,14
5.95893595119846,bimodal,8,20
5.9594386160775565,uniform,3,22
5.959923302882081,uniform,43,29
5.961639975219471,bimodal,15,14
5.962149634584561,bimodal,5,13
5.96248700719782,peripheral,23,8
5.962756945783857,uniform,18,20
5.9628638352912455,uniform,45,4
5.96345246316257,uniform,23,10
5.963825249201824,peripheral,24,12
5.9642422144110245,bimodal,29,5
5.965023936245202,bimodal,36,46
5.965504476670524,bimodal,2,16
5.965992526044578,peripheral,32,20
5.966722143634319,peripheral,20,14
5.967196443890349,peripheral,12,10
5.969006332158399,bimodal,21,17
5.969786897821885,peripheral,12,7
5.971158050938943,peripheral,21,24
5.971171741413239,bimodal,38,37
5.972207946770292,peripheral,14,19
5.972646738578677,bimodal,25,11
5.972810414985054,peripheral,22,29
5.973723848434644,uniform,43,1
5.9749834773032875,peripheral,25,32
5.975005774663797,uniform,35,7
5.975411993892039,uniform,38,5
5.977762291663019,bimodal,7,12
5.978962344960368,peripheral,22,11
5.979360224150293,uniform,26,15
5.979858675024671,peripheral,6,21
5.979932821127898,uniform,28,6
5.98023336584324,bimodal,18,1
5.981188083110248,uniform,41,23
5.982540663850972,peripheral,11,14
5.984141023117003,uniform,25,10
5.984900275526771,peripheral,17,16
5.985094348581657,bimodal,28,18
5.985216669302024,bimodal,14,20
5.985343208401917,uniform,17,15
5.9854926074978545,bimodal,28,7
5.985874158683259,peripheral,14,21
5.986297095093757,uniform,28,22
5.987998937955677,uniform,5,34
5.988203989356633,peripheral,17,1
5.989114405568832,bimodal,10,24
5.9895817590938245,uniform,34,3
5.989761952113169,bimodal,22,18
5.990084447167515,uniform,11,15
5.990353583437636,bimodal,11,11
5.990422029963243,uniform,23,18
5.990530334144486,bimodal,7,15
5.991344715515023,bimodal,25,14
5.991776944430283,bimodal,29,12
5.993431255546093,bimodal,30,10
5.9941390210731775,peripheral,24,14
5.994463443517669,uniform,14,14
5.994733383643434,uniform,37,19
5.994744775901888,bimodal,26,11
5.995215309620435,bimodal,9,32
5.995240606802448,bimodal,18,24
5.996114106048659,uniform,27,9
5.996127708224373,uniform,20,23
5.998478924282046,peripheral,13,22
5.998983931345938,bimodal,40,26
5.999186784623593,peripheral,35,19
6.000825923030382,uniform,49,49
6.00082920848954,peripheral,9,19
6.001828514354883,uniform,6,17
6.002850258430444,peripheral,8,13
6.0033595763735965,peripheral,12,34
6.004148439205977,bimodal,9,49
6.00497928429531,uniform,1,19
6.005375006568329,uniform,7,17
6.005403770512634,bimodal,7,23
6.006037092951716,bimodal,26,15
6.006460655980137,bimodal,10,25
6.007947089625898,uniform,17,42
6.0082894528885245,peripheral,16,37
6.011172320559528,peripheral,30,20
6.012244726337754,bimodal,14,14
6.012926827515705,peripheral,21,36
6.0132647031284,bimodal,12,35
6.013304979687077,bimodal,31,14
6.013533326148315,bimodal,15,11
6.01354624366862,bimodal,16,19
6.0135702976777505,peripheral,16,9
6.013686276514969,peripheral,11,26
6.014567840144978,uniform,28,9
6.015131780133968,bimodal,20,17
6.0152420083821045,peripheral,17,17
6.015741372491356,bimodal,11,24
6.015981274081478,peripheral,30,16
6.016365835950949,uniform,21,11
6.017298008028838,uniform,35,4
6.01764617422873,bimodal,18,10
6.018815757975614,peripheral,26,21
